threshold,precision,recall,f1,specificity,false_positives,false_negatives,true_positives,true_negatives
0.05,0.1983895319577252,0.9922805839906025,0.3306677105469187,0.1619194612038726,23892,46,5913,4616
0.06,0.2039120650856846,0.9884208759859037,0.33807829181494664,0.19338431317524904,22995,69,5890,5513
0.07,0.20938268086773767,0.9864071152878,0.34543958627174426,0.22144661147748002,22195,81,5878,6313
0.08,0.21414990859232175,0.9828830340661184,0.3516767240085262,0.24607127823768768,21493,102,5857,7015
0.09,0.21940769693325315,0.9796945796274543,0.3585224306813646,0.2714325803283289,20770,121,5838,7738
0.1,0.22434809442987194,0.9760026850142641,0.36483392403475207,0.294654132173425,20108,143,5816,8400
0.11,0.22910731244064578,0.9716395368350395,0.370785437546028,0.3166128805949207,19482,169,5790,9026
0.12,0.2332955373775006,0.9667729484812888,0.37588490522950446,0.3358706328048267,18933,198,5761,9575
0.13,0.2381702815908431,0.9637523074341332,0.38194998669859004,0.35561947523502174,18370,216,5743,10138
0.14,0.24293473648476618,0.9607316663869777,0.3878069432684166,0.37417566998737195,17841,234,5725,10667
0.15,0.2469532029318645,0.9555294512502097,0.39247311827956993,0.39094289322295495,17363,265,5694,11145
0.16,0.25182157455127063,0.951166303070985,0.3982154775705202,0.40928862073803846,16840,291,5668,11668
0.17,0.256297171955988,0.9459640879342172,0.40331985833363143,0.4262312333380104,16357,322,5637,12151
0.18,0.26047918120493135,0.9395871790568887,0.4078822758068041,0.442402132734671,15896,360,5599,12612
0.19,0.26462620597880326,0.9343849639201208,0.41244444444444445,0.4572400729619756,15473,391,5568,13035
0.2,0.26967113276492083,0.9288471220003356,0.41798821930222024,0.47418268556194754,14990,424,5535,13518
0.21,0.2735421542751855,0.9217989595569727,0.421889400921659,0.4882839904588186,14588,466,5493,13920
0.22,0.2783867842757355,0.9162611176371874,0.42702956358517136,0.5035428651606566,14153,499,5460,14355
0.23,0.2831645965974324,0.9105554623258936,0.43198917240555706,0.5181703381506946,13736,533,5426,14772
0.24,0.2876141643967313,0.9036751132740393,0.4363503767928044,0.5321313315560544,13338,574,5385,15170
0.25,0.2914369917589914,0.8961235106561504,0.439831974301952,0.5445839764276694,12983,619,5340,15525
0.26,0.2961886665921538,0.8894109749958047,0.44438854651406534,0.5582292689771292,12594,659,5300,15914
0.27,0.30039525691699603,0.8800134250713207,0.44789887256576694,0.5715939385435668,12213,715,5244,16295
0.28,0.30523033476495853,0.8706158751468367,0.4519951211012372,0.5857653991861933,11809,771,5188,16699
0.29,0.3094965330117576,0.8613861386138614,0.45537615330021297,0.598288199803564,11452,826,5133,17056
0.3,0.3139448633947336,0.8523242154723947,0.45886976555088765,0.6106706889294233,11099,880,5079,17409
0.31,0.3182077083728878,0.843765732505454,0.46213235294117644,0.6221060754875825,10773,931,5028,17735
0.32,0.32323559937727037,0.836214129887565,0.4662456140350878,0.6340325522660306,10433,976,4983,18075
0.33,0.3279909556427479,0.8276556469206242,0.46980377214707564,0.6455380945699453,10105,1027,4932,18403
0.34,0.332267283614589,0.8194327907367008,0.47281529895908975,0.6557808334502596,9813,1076,4883,18695
0.35,0.337521815008726,0.811377747944286,0.4767304279234866,0.6671109863897853,9490,1124,4835,19018
0.36,0.3421335820360141,0.8003020641047156,0.4793446577545482,0.6783359057106777,9170,1190,4769,19338
0.37,0.34715255237533194,0.7897298204396711,0.48229566999743784,0.6895608250315701,8850,1253,4706,19658
0.38,0.3525660491952627,0.7793253901661352,0.48549474674611887,0.7008559000982181,8528,1315,4644,19980
0.39,0.35690314524311245,0.7674106393690217,0.48721500106541665,0.7109583274870211,8240,1386,4573,20268
0.4,0.36225229579507007,0.7546568216143649,0.4895226691340554,0.7222884804265469,7917,1462,4497,20591
0.41,0.367287784679089,0.744252391340829,0.49184873017633357,0.7320050512136944,7640,1524,4435,20868
0.42,0.37283633247643533,0.730156066454103,0.49361846956719047,0.7432650484074645,7319,1608,4351,21189
0.43,0.3793865464509856,0.7202550763550931,0.49698934691987023,0.7537182545250456,7021,1667,4292,21487
0.44,0.3844184345281639,0.7054874979023326,0.4976620301864457,0.7638557597867265,6732,1755,4204,21776
0.45,0.3903106997827935,0.693572747105219,0.49951655789219235,0.7735372527009962,6456,1826,4133,22052
0.46,0.3963849535906204,0.6808189293505622,0.5010497715203162,0.7832889013610215,6178,1902,4057,22330
0.47,0.40147385422975973,0.6673938580298708,0.5013551843681058,0.7920232917075909,5929,1982,3977,22579
0.48,0.40656459731543626,0.6506125188790065,0.5004194901581155,0.8014943173845938,5659,2082,3877,22849
0.49,0.412962962962963,0.6361805672092633,0.500825682013343,0.8109653430615967,5389,2168,3791,23119
0.5,0.4182350952327285,0.6227554958885719,0.5004045307443366,0.8189280202048548,5162,2248,3711,23346
0.51,0.4265119549929676,0.6106729316999496,0.5022427713753363,0.8283639680089799,4893,2320,3639,23615
0.52,0.4343372759419583,0.5977513005537842,0.5031073446327683,0.8372737477199382,4639,2397,3562,23869
0.53,0.4382692551706636,0.5796274542708508,0.49913294797687874,0.8447102567700294,4427,2505,3454,24081
0.54,0.44591203275657115,0.5665380097331767,0.4990391722099039,0.8528483232776765,4195,2583,3376,24313
0.55,0.45364101146884067,0.5509313643228729,0.4975750227341619,0.8613020906412235,3954,2676,3283,24554
0.56,0.45704814067454597,0.532136264473905,0.4917422656431728,0.86786165286937,3767,2788,3171,24741
0.57,0.46422628951747086,0.5150192985400235,0.4883054892601431,0.8757541742668724,3542,2890,3069,24966
0.58,0.46918457648546147,0.49823795938915927,0.4832750061040124,0.8821734250035078,3359,2990,2969,25149
0.59,0.476578073089701,0.481456620238295,0.47900492528591704,0.8894696225620878,3151,3090,2869,25357
0.6,0.48509294984216067,0.46417184091290487,0.47440185232827375,0.8970113652308124,2936,3193,2766,25572
0.61,0.49278312361213916,0.4468870615875147,0.4687142479978879,0.9038515504419812,2741,3296,2663,25767
0.62,0.5009773260359656,0.43010572243665046,0.462844243792325,0.9104461905430055,2553,3396,2563,25955
0.63,0.5044284243048404,0.41097499580466523,0.4529313852413538,0.9156026378560405,2406,3510,2449,26102
0.64,0.5120350109409191,0.3926833361302232,0.44448665590274483,0.9217763434825312,2230,3619,2340,26278
0.65,0.5185011709601873,0.37153884880013427,0.4328868902140972,0.9278798933632665,2056,3745,2214,26452
0.66,0.5223470661672909,0.35106561503607986,0.4199116820553994,0.9328960291847902,1913,3867,2092,26595
0.67,0.53043007844198,0.3290820607484477,0.40617232808616405,0.9391048126841588,1736,3998,1961,26772
0.68,0.5375840889148874,0.3084410135928847,0.3919812326722116,0.9445418829802161,1581,4121,1838,26927
0.69,0.542549826004429,0.2877999664373217,0.37609649122807026,0.9492773958187175,1446,4244,1715,27062
0.7,0.5510551395507147,0.271689880852492,0.36394290210183206,0.9537322856741968,1319,4340,1619,27189
0.71,0.5583209509658247,0.2522235274374895,0.34747428043000805,0.9582924091483093,1189,4456,1503,27319
0.72,0.5699143905421933,0.23460312132908206,0.33238231098430815,0.9629928441139329,1055,4561,1398,27453
0.73,0.5769230769230769,0.21396207417351903,0.3121557106132941,0.9672021888592676,935,4684,1275,27573
0.74,0.591628381827463,0.19449572075851654,0.29275069461985354,0.971937701697769,800,4800,1159,27708
0.75,0.5988636363636364,0.17687531465010908,0.27309236947791166,0.9752350217482811,706,4905,1054,27802
0.76,0.6041131105398457,0.15774458801812385,0.25016633399866933,0.9783920303072822,616,5019,940,27892
0.77,0.618699780861943,0.14213794260782012,0.23116812227074238,0.9816893503577943,522,5112,847,27986
0.78,0.6347607052896725,0.12686692398053365,0.21146853146853145,0.9847411252981619,435,5203,756,28073
0.79,0.6341232227488152,0.11226715891928175,0.1907613344739093,0.9864599410691736,386,5290,669,28122
0.8,0.6486784140969163,0.09884208759859037,0.17154507062763943,0.9888101585519854,319,5370,589,28189
0.81,0.6654040404040404,0.08843765732505454,0.15612501851577545,0.990704363687386,265,5432,527,28243
0.82,0.6646884272997032,0.07518039939587179,0.1350821649329112,0.9920724007296198,226,5511,448,28282
0.83,0.6672694394213382,0.06192314146668904,0.11332923832923833,0.9935456713904869,184,5590,369,28324
0.84,0.6730769230769231,0.04698774962241987,0.08784313725490195,0.9952294092886207,136,5679,280,28372
0.85,0.6759259259259259,0.036751132740392684,0.06971192105681999,0.9963168233478322,105,5740,219,28403
0.86,0.6607142857142857,0.024836381943279074,0.047873200711628656,0.997334081661288,76,5811,148,28432
0.87,0.6533333333333333,0.016445712367846956,0.032083810770993614,0.998175950610355,52,5861,98,28456
0.88,0.6413043478260869,0.009900990099009901,0.019500908940670962,0.9988424301950329,33,5900,59,28475
0.89,0.68,0.005705655311293841,0.011316358795140622,0.9994387540339554,16,5925,34,28492
0.9,0.6428571428571429,0.003020641047155563,0.006013028227826958,0.9996492212712221,10,5941,18,28498
0.91,0.625,0.0008390669575432119,0.0016758840288252051,0.9998947663813667,3,5954,5,28505
0.92,0.3333333333333333,0.0001678133915086424,0.00033545790003354584,0.9999298442542445,2,5958,1,28506
0.93,0.0,0.0,0.0,1.0,0,5959,0,28508
0.94,0.0,0.0,0.0,1.0,0,5959,0,28508
0.95,0.0,0.0,0.0,1.0,0,5959,0,28508
