threshold,precision,recall,f1,specificity,tp,tn,fp,fn
0.05,0.23978508059477696,0.9661016949152542,0.38420982381206625,0.3597586642346008,5757,10256,18252,202
0.06,0.25724323584432174,0.9461319013257258,0.40450566795810006,0.4289673074224779,5638,12229,16279,321
0.07,0.25724323584432174,0.9461319013257258,0.40450566795810006,0.4289673074224779,5638,12229,16279,321
0.08,0.27329500396510703,0.9253230407786541,0.42196288502008794,0.4856882278658622,5514,13846,14662,445
0.09,0.2779357984559122,0.9182748783352912,0.4267165750380162,0.5013329591693559,5472,14292,14216,487
0.1,0.28844604393833595,0.9011579124014096,0.43701171875,0.5353234179879333,5370,15261,13247,589
0.11,0.3001942635127414,0.8816915589864072,0.44789224670730154,0.5703662129928441,5254,16260,12248,705
0.12,0.31100623222605434,0.8625608323544219,0.45717335230810274,0.6005682615406202,5140,17121,11387,819
0.13,0.32033585649767826,0.8451082396375231,0.46457564575645754,0.6251929283008278,5036,17823,10685,923
0.14,0.33996904895891955,0.8110421211612686,0.47910780669144987,0.6708643187877087,4833,19125,9383,1126
0.15,0.3414115646258503,0.808524920288639,0.48009566040556023,0.6739862494738319,4818,19214,9294,1141
0.16,0.3414115646258503,0.808524920288639,0.48009566040556023,0.6739862494738319,4818,19214,9294,1141
0.17,0.3532440003028238,0.7830172847793254,0.4868530884808014,0.7003297320050512,4666,19965,8543,1293
0.18,0.3537854051180803,0.7818425910387649,0.4871392722710163,0.7014873018100183,4659,19998,8510,1300
0.19,0.3676132632961261,0.7516361805672093,0.4937441437468997,0.7297249894766381,4479,20803,7705,1480
0.2,0.3774076002082249,0.7299882530625944,0.4975693451529883,0.7482811842289884,4350,21332,7176,1609
0.21,0.3774845933512716,0.7298204396710858,0.49759725400457666,0.7484214957204995,4349,21336,7172,1610
0.22,0.40341708542713567,0.6736029535156906,0.5046200264001509,0.7917777465974464,4014,22572,5936,1945
0.23,0.40618619844834625,0.6677294848128881,0.505109489051095,0.7959520134699032,3979,22691,5817,1980
0.24,0.40618619844834625,0.6677294848128881,0.505109489051095,0.7959520134699032,3979,22691,5817,1980
